name,city,address,lat,lon,category,description
망양정해수욕장,경북 울진군,경상북도 울진군 근남면 망양정로 1016,36.9674073,129.412321,관광지,
안동문화예술의전당,경북 안동시,경상북도 안동시 축제장길 66,36.5595259,128.7256906,관광지,
운주산승마자연휴양림,경북 영천시,경상북도 영천시 임고면 승마휴양림길 105,36.0376736,129.0008294,관광지,
유교랜드,경북 안동시,경상북도 안동시 관광단지로 346-30,36.569346,128.7785422,관광지,
제이스모텔,경북 안동시,경상북도 안동시 옥동길 97-6,36.5624782,128.702668,관광지,
구토란펜션 [한국관광 품질인증/Korea Quality],경북 경주시,경상북도 경주시 내남면 귀계길 17-25,35.7520083,129.1606824,관광지,
Valley(밸리)모텔,경북 경주시,경상북도 경주시 영불로 242-3,35.7835515,129.3280014,관광지,
문경활공랜드,경북 문경시,경상북도 문경시 문경읍 활공장길 80,36.7362395,128.1538599,관광지,
치산계곡,경북 영천시,경상북도 영천시 신녕면 치산리,36.0366643,128.7141485,관광지,
거제자연예술랜드,경남 거제시,경남 거제시 동부면 구천리,34.8081048,128.6340293,관광지,
국립 지리산자연휴양림,경남 함양군,경상남도 함양군 마천면 음정길 152,35.347852,127.6431363,관광지,
한려해상국립공원(사천),경남 사천시,경상남도 사천시 늑도동,34.9227084,128.0368871,관광지,
의신마을,경남 하동군,경상남도 하동군 화개면 대성리,35.2843631,127.6637639,관광지,
대원사계곡,경남 산청군,경남 산청군 삼장면,35.2982104,127.8317548,관광지,
사량도 지리산,경남 통영시,경상남도 통영시 사량면,34.8454375,128.2199468,관광지,
가지산도립공원(밀양),경남 밀양시,경상남도 밀양시 산내면,35.5842047,128.8808492,관광지,
미륵산(통영),경남 통영시,경상남도 통영시 봉수돌샘길 115,34.8219905,128.4155191,관광지,
창원의 집,경남 창원시,경상남도 창원시 의창구 사림로16번길 59,35.2444473,128.6813665,관광지,
3·15 아트센터,경남 창원시,경상남도 창원시 마산회원구 삼호로 135,35.2258781,128.5772021,관광지,
옥정호(물안개길),전북 임실군,전라북도 임실군 운암면,35.663567,127.1556106,관광지,
